waluta;kod;styczeń;luty;marzec;kwiecień;maj;czerwiec;lipiec;sierpień;wrzesień;październik;listopad;grudzień;Rok
dolar Hongkongu;HKD;0.5572;0.5641;0.5595;0.5393;0.5333;0.5262;0.5152;0.5225;0.5489;0.5464;0.5224;0.508;2023
dolar kanadyjski;CAD;3.2445;3.2922;3.2072;3.1369;3.0908;3.0998;3.0453;3.0341;3.1751;3.1223;2.9711;2.9572;2023
dolar nowozelandzki;NZD;2.7864;2.7882;2.7247;2.6299;2.5955;2.5279;2.5027;2.45;2.5499;2.5231;2.4395;2.4686;2023
dolar singapurski;SGD;3.2865;3.3259;3.2724;3.1791;3.1198;3.0623;3.0151;3.0268;3.1542;3.1237;3.0217;2.9801;2023
euro;EUR;4.6968;4.7427;4.6925;4.6414;4.5411;4.4648;4.4455;4.4599;4.594;4.5186;4.4033;4.3323;2023
forint (Węgry);HUF;0.01188;0.012321;0.01218;0.012342;0.012184;0.012039;0.011726;0.011572;0.011894;0.01172;0.011617;0.011349;2023
frank szwajcarski;CHF;4.717;4.7867;4.7409;4.7102;4.6549;4.5777;4.6007;4.6521;4.7883;4.7307;4.5707;4.591;2023
funt szterling;GBP;5.3252;5.3512;5.323;5.2672;5.2128;5.2043;5.1788;5.1924;5.3327;5.2049;5.0549;5.0234;2023
hrywna (Ukraina);UAH;0.1258;0.1258;0.1258;0.1157;0.1132;0.1117;0.1093;0.1108;0.1164;0.117;0.1128;0.1068;2023
jen (Japonia);JPY;0.033432;0.033355;0.032831;0.031735;0.030507;0.029218;0.028519;0.028255;0.029109;0.028585;0.0272;0.02758;2023
korona czeska;CZK;0.196;0.1999;0.198;0.1979;0.1924;0.1884;0.1861;0.1849;0.1886;0.1838;0.1799;0.177;2023
korona duńska;DKK;0.6314;0.637;0.6302;0.6229;0.6096;0.5993;0.5967;0.5985;0.6161;0.6057;0.5904;0.5811;2023
korona islandzka;ISK;0.030535;0.030994;0.031297;0.031066;0.030191;0.029889;0.030273;0.030993;0.031831;0.030882;0.029134;0.02879;2023
korona norweska;NOK;0.4392;0.4334;0.4163;0.4029;0.3869;0.3815;0.3912;0.3908;0.4012;0.3892;0.3728;0.3769;2023
korona szwedzka;SEK;0.4196;0.4244;0.4182;0.4092;0.3996;0.3829;0.3817;0.3775;0.3877;0.3882;0.3808;0.3869;2023
lej rumuński;RON;0.9538;0.9665;0.9528;0.9398;0.9178;0.9001;0.8994;0.9025;0.9254;0.9094;0.8859;0.8716;2023
lew (Bułgaria);BGN;2.4014;2.4249;2.3992;2.3731;2.3218;2.2828;2.2729;2.2803;2.3488;2.3103;2.2513;2.2151;2023
lira turecka;TRY;0.232;0.2349;0.2312;0.2189;0.2117;0.1754;0.1521;0.1517;0.1592;0.1535;0.1424;0.1364;2023
nowy izraelski szekel;ILS;1.2637;1.2513;1.2111;1.1652;1.1397;1.132;1.0973;1.0923;1.1257;1.0762;1.0694;1.0831;2023
peso chilijskie;CLP;0.005273;0.005548;0.005429;0.005269;0.005231;0.005156;0.00495;0.004779;0.004861;0.004617;0.004593;0.004537;2023
peso filipińskie;PHP;0.0793;0.0808;0.0802;0.0766;0.075;0.0738;0.0733;0.0726;0.0757;0.0753;0.0731;0.0714;2023
peso meksykańskie;MXN;0.2293;0.2378;0.2386;0.2341;0.2356;0.2387;0.2376;0.2405;0.2487;0.237;0.2344;0.2309;2023
rand (Republika Południowej Afryki);ZAR;0.2551;0.2474;0.24;0.233;0.2192;0.2198;0.2206;0.2179;0.2267;0.2244;0.2197;0.2134;2023
real (Brazylia);BRL;0.8371;0.856;0.8423;0.8432;0.84;0.847;0.8371;0.8343;0.8694;0.8445;0.8311;0.8096;2023
ringgit (Malezja);MYR;1.0073;1.0137;0.9824;0.9568;0.9253;0.8905;0.8769;0.8872;0.9183;0.9011;0.8694;0.8522;2023
rupia indonezyjska;IDR;0.00028587;0.00029258;0.0002872;0.00028535;0.00028197;0.00027588;0.00026781;0.00026823;0.0002798;0.00027152;0.00026144;0.00025604;2023
rupia indyjska;INR;0.053256;0.053603;0.053357;0.051639;0.050761;0.050136;0.048997;0.04937;0.051768;0.051392;0.048964;0.047654;2023
won południowokoreański;KRW;0.0035;0.003467;0.003361;0.003203;0.003147;0.003179;0.003131;0.003091;0.003223;0.003166;0.003117;0.003042;2023
yuan renminbi (Chiny);CNY;0.6417;0.6473;0.6364;0.6148;0.5981;0.5764;0.56;0.5639;0.5891;0.5848;0.5638;0.5558;2023
SDR (MFW);XDR;5.866;5.9195;5.8643;5.7138;5.5955;5.5016;5.4025;5.4474;5.6682;5.6109;5.3985;5.3037;2023
